customer_unique_id,shap_historical_recency_days,shap_historical_order_count,shap_historical_revenue,shap_historical_item_count,shap_historical_unique_products,shap_historical_average_order_value,shap_historical_average_items_per_order,shap_historical_orders_per_active_day,predicted_future_revenue,future_revenue
0043d65f8039b4a4d43bc7b0f450ac2c,-0.015377602,-0.0005663975,0.005690424,-0.0037494993,0.0006072795,-0.009909296,-0.0017807545,0.0031161127,0.0054702125,0.0
00444f48f6c9b55657e49435ce3a97ca,-0.0063940575,-0.00051627023,-0.006714616,-0.007209136,0.00046813657,0.009178592,-0.006013376,0.0036312544,0.013952007,0.0
00446a03d7a34d191507c9e42870d0a5,-0.023655653,-0.0016244827,-0.0022438846,-0.0012657272,0.00031651056,-0.0003947677,9.0418696e-05,0.0011044681,0.0,0.0
0046311f458d8041b00063cb99482903,0.00466872,-0.0018846707,0.0073499084,-0.002262762,-0.00014740351,0.00987885,-0.004993103,0.0025635606,0.043518454,0.0
0047f3e16441284d757a8963344f6c59,0.0036463365,-0.0020283726,0.005560746,-0.0033690033,0.0003313238,-0.0064879786,-0.00066475384,0.0020168764,0.026782578,0.0
0049a16516d38fc2246696172a257f16,-0.016134655,-0.0005704302,0.010885961,-0.0028490203,-0.00028542156,-0.005182525,-0.00036182033,0.00047350588,0.013490818,0.0
0049dadc30da6a277c1e9d371df5a66f,-0.027516808,-0.00060192635,-0.021935526,-0.012364936,-0.0002608863,0.02527227,-0.00352999,0.0042984257,0.0,0.0
0049db44bfd6cee26ac9c649329ff6ea,-0.016235491,-0.0027626818,-0.02394995,0.0066219326,0.0019029472,0.0012958345,0.00576557,0.0012169188,0.001280946,0.0
004a432489f6630c6dfd3fc4454603f5,-0.015828045,-0.0018358199,-0.0027189367,-0.0032098594,0.0005693969,-0.0027860089,-0.0009472565,0.0020196445,0.002691762,0.0
004ad212c650c96c8a48f30855a7bcb8,-0.00890049,-0.00055629446,-0.00018839906,-0.018187411,-0.00020861538,0.010806612,-0.009317274,0.0040757377,0.004961193,0.0
004b45ec5c64187465168251cd1c9c2f,-0.0057903263,-0.0019375748,0.0067332294,-0.0028223256,0.00053227216,0.00892962,-0.00089585374,0.0020663172,0.034833346,49.85
004d17fa2cb102a7c4817f040c884e59,-0.005444044,-0.0006701612,0.0057157115,-0.0028406903,-0.0002870092,-0.0009644097,-0.0005235195,0.00010637455,0.022772714,0.0
004ed862ea4e55f18868d3d782d10879,-0.00027327985,-0.002942615,-0.014648589,-0.002115694,-6.113534e-05,0.005825866,-0.00048210227,0.0019559457,0.014791764,0.0
004f84d065096f3cedd26cf0adc80b9d,0.022365961,-0.0015960349,-0.022486998,0.0031786726,0.0014397576,0.03388827,0.0023796363,-0.0020621726,0.06665982,0.0
0050dcff37f8b9ff611d245e30572b46,0.009324799,-0.0009233161,0.0047222157,-0.0041529792,0.00048416937,-0.035290845,-0.0005763123,0.0023834552,0.0034020054,0.0
00522457bba00bba576a34fd9b4808fd,-0.022296885,-0.0016062274,0.008627045,-0.0012795147,0.00031126334,-0.005913499,0.00011732669,0.0011601723,0.0065661906,0.0
005226be8d5b972d0f72b4e8a79f322b,-0.019708816,0.0047554052,0.013359986,0.002848326,-0.0016719282,-0.02631393,0.00049120816,-0.008776957,0.0,0.0
00539155ce68fbe677934aebdb17e09b,0.0087894155,-0.00076140655,0.0101024145,-0.0046213362,0.0005628396,-0.039986078,-0.0007871762,0.0022522737,0.0029803917,0.0
00543330561a9088f8b3879114a7b008,-0.023370443,-0.0018670628,0.035530183,-0.003040629,0.00030490843,-0.02516662,-0.00034212274,0.0019556484,0.011494449,0.0
0055b522bc89cbfbf376d8b59a628470,-0.009075737,0.0002978628,0.009318404,0.0008634662,-0.0015960535,-0.032419417,0.0014486606,-0.004151073,0.0,0.0
0055bbb9c95f6acb8db89d1f6c316407,-0.005140621,-0.001941118,-0.0030192933,-0.0034229646,0.0006920533,-0.0018236404,-0.00090724224,0.0018968952,0.013854197,0.0
0056f26cb8f20916c3baa0e39fc30709,-0.011069718,-0.0029923762,-0.032243617,-0.00227732,8.264543e-05,0.018638896,-0.0003530295,0.00073578855,0.0,0.0
00575b2023dedcc0f3e81a938834689b,-0.015459989,-0.0005519214,0.0004367514,-0.0023911449,-0.00021261598,-0.019500848,-0.00050553656,0.00061874755,0.0,0.0
0058e7db269cc11558913b42beb115d0,0.08539765,-0.0013776139,-0.01784728,-0.0029345585,-0.0013975068,-0.046931878,-0.001832344,0.0016211647,0.043022413,0.0
0058f300f57d7b93c477a131a59b36c3,0.0019661325,-0.004559642,-0.019759549,-0.0031553116,-0.0007054352,0.015376447,-0.007052798,-0.0014761656,0.008091291,0.0
0059acd36094bf670ec8b21be6c0044c,-0.014834191,-0.00054446893,-0.017529387,-0.0032085783,-0.00015793189,0.011277249,-0.000978745,0.00061675656,0.0020678707,0.0
005d8faa4cf789cf52fb880a8569880a,0.019559352,-0.0015990143,-0.022710588,-0.004082204,0.00034741347,-0.02724865,-0.00051519385,0.00048479906,0.0,0.0
005e32bc930906dc6b65fb9d11cce3e2,-0.0091378605,-0.0006994538,-0.001560224,-0.0029931702,-0.00015892016,0.0023373084,-0.00091357087,0.00049303466,0.014902109,0.0
005ee3e015ec18092d7782e507cf68fe,-0.0061704842,-0.0015626816,0.02883073,-0.0027257956,0.0009903754,0.017158955,-0.0010209882,0.0013864645,0.06642461,0.0
005f060d4223956c62b64e9567a36f0f,0.049469486,0.0021250688,-0.015997276,0.0024207304,-0.00086493656,-0.04384719,0.00045466493,-0.0022361958,0.019130062,0.0
005f4b46e70bbd3295a38e2fd28d6566,-0.0125389565,-0.0005844964,0.0072411513,-0.0030161764,0.00025408584,-0.0067541413,-0.0008200139,0.0030344236,0.014342789,0.0
